All values USD Millions.,2022,2021,2020,2019,2018,5-year trend
ST Debt & Current Portion LT Debt,1987,1957,2459,2070,2711,
,,,,,,
Short Term Debt,485,368,286,228,-,
,,,,,,
Current Portion of Long Term Debt,1502,1589,2173,1842,2711,
,,,,,,
Accounts Payable,15255,10025,6051,3771,3404,
,,,,,,
Accounts Payable Growth,52.17%,65.68%,60.46%,10.77%,-,
,,,,,,
Income Tax Payable,1235,1122,777,611,349,
,,,,,,
Other Current Liabilities,8232,6601,4961,4215,3528,
,,,,,,
Dividends Payable,-,-,-,-,-,
,,,,,,
Accrued Payroll,1026,906,654,466,449,
,,,,,,
Miscellaneous Current Liabilities,7206,5695,4307,3749,3079,
,,,,,,
Total Current Liabilities,26709,19705,14248,10667,9992,
,,,,,,
Total Current Assets FOR CALCULATION PURPOSES ONLY,40917,27100,26717,12103,8306,
,,,,,,
Total Assets FOR CALCULATION PURPOSES ONLY,82338,62131,52148,34309,29740,
,,,,,,
Inventories FOR CALCULATION PURPOSES ONLY,12839,5757,4101,3552,3113,
,,,,,,
Cash & Short Term Investments FOR CALCULATION PURPOSES ONLY,22479,18052,19622,6514,3878,
,,,,,,
Current Ratio,1.53,1.38,1.88,1.13,0.83,
,,,,,,
Quick Ratio,1.05,1.08,1.59,0.80,0.52,
,,,,,,
Cash Ratio,0.84,0.92,1.38,0.61,0.39,
,,,,,,
Long-Term Debt,3761,6916,10888,12627,11116,
,,,,,,
Long-Term Debt excl. Capitalized Leases,1029,4254,8513,10402,8410,
,,,,,,
Non-Convertible Debt,1029,4254,8462,10402,8410,
,,,,,,
Convertible Debt,-,-,51,-,-,
,,,,,,
Capitalized Lease Obligations,568,991,1121,1269,2706,
,,,,,,
Provision for Risks & Charges,51,133,519,581,413,
,,,,,,
Deferred Taxes,82,24,151,66,-,
,,,,,,
Deferred Taxes - Credit,82,24,151,66,-,
,,,,,,
Deferred Taxes - Debit,-,-,-,-,-,
,,,,,,
Other Liabilities,5837,3770,2663,2258,1905,
,,,,,,
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-,
,,,,,,
Other Liabilities (excl. Deferred Income),3033,1718,1379,1051,855,
,,,,,,
Deferred Income,2804,2052,1284,1207,1050,
,,,,,,
Total Liabilities,36440,30548,28469,26199,23426,
,,,,,,
Non-Equity Reserves,-,-,-,-,-,
,,,,,,
Total Liabilities / Total Assets,44.26%,49.17%,54.59%,76.36%,78.77%,
,,,,,,
Preferred Stock (Carrying Value),-,-,-,-,-,
,,,,,,
Redeemable Preferred Stock,-,-,-,-,-,
,,,,,,
Non-Redeemable Preferred Stock,-,-,-,-,-,
,,,,,,
Preferred Stock issues for ESOP,-,-,-,-,-,
,,,,,,
ESOP Guarantees - Preferred Stock,-,-,-,-,-,
,,,,,,
Common Equity (Total),44704,30189,22225,6618,4923,
,,,,,,
Common Stock Par/Carry Value,3,1,1,1,0,
,,,,,,
Additional Paid-In Capital/Capital Surplus,32177,29803,27260,12736,10249,
,,,,,,
Retained Earnings,12885,331,"(5,399)","(6,083)","(5,318)",
,,,,,,
,,,,,,
ESOP Debt Guarantee,-,-,-,-,-,
,,,,,,
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-,
,,,,,,
Unrealized Gain/Loss Marketable Securities,-,-,-,-,-,
,,,,,,
Revaluation Reserves,-,-,-,-,-,
,,,,,,
Other Appropriated Reserves,(361),54,363,(36),(8),
,,,,,,
,,,,,,
Unappropriated Reserves,-,-,-,-,-,
,,,,,,
Treasury Stock,-,-,-,-,-,
,,,,,,
Common Equity / Total Assets,54.29%,48.59%,42.62%,19.29%,16.55%,
,,,,,,
Total Shareholders' Equity,44704,30189,22225,6618,4923,
,,,,,,
Total Shareholders' Equity / Total Assets,54.29%,48.59%,42.62%,19.29%,16.55%,
,,,,,,
Accumulated Minority Interest,1194,1394,1454,1492,1390,
,,,,,,
Total Equity,45898,31583,23679,8110,6314,
,,,,,,
Liabilities & Shareholders' Equity,82338,62131,52148,34309,29740,
,,,,,,
